init_0,scenario_0
init_1,scenario_1
init_2,scenario_2
init_3,scenario_3
global_0,scenario_4,before run:3.0557634160706595,after run:2.968092820511793
global_1,scenario_5,before run:3.994675288998402,after run:1.7095648264336882
global_1,scenario_6,before run:2.968092820511793,after run:3.031320578480652
global_1,scenario_7,before run:2.968092820511793,after run:3.0408427562198694
global_3,scenario_8,before run:3.994675288998402,after run:1.6817483923946652
global_3,scenario_9,before run:3.0408427562198694,after run:3.1218314594018555
global_3,scenario_10,before run:3.0408427562198694,after run:3.113602139489934
global_4,scenario_11,before run:3.994675288998402,after run:2.4081468944075293
global_4,scenario_12,before run:3.994675288998402,after run:4.841793096615949
global_4,scenario_13,before run:3.1218314594018555,after run:2.4509702856950573
global_4,scenario_14,before run:3.1218314594018555,after run:2.73888969078324
global_4_local_0,scenario_15,before run:4.841793096615949,after run:3.011367747622176
global_4_local_0,scenario_16,before run:3.011367747622176,after run:3.0894825588261052
global_4_local_0,scenario_17,before run:3.0894825588261052,after run:3.1450546357854194
global_4_local_0,scenario_18,before run:3.1450546357854194,after run:101.20482579302345
global_4_local_0,scenario_19,before run:101.20482579302345,after run:4.191080218367538
global_4_local_0,scenario_20,before run:4.191080218367538,after run:3.406612236503733
global_4_local_0,scenario_21,before run:3.406612236503733,after run:4.304632777692899
global_4_local_0,scenario_22,before run:4.304632777692899,after run:3.0834077720579507
global_4_local_1,scenario_23,before run:4.191080218367538,after run:3.884804523913705
global_4_local_1,scenario_24,before run:3.884804523913705,after run:4.011763464313105
global_4_local_1,scenario_25,before run:4.011763464313105,after run:4.834786987338031
global_4_local_2,scenario_26,before run:4.304632777692899,after run:5.042410847440726
global_4_local_2,scenario_27,before run:5.042410847440726,after run:4.747621068598884
global_4_local_2,scenario_28,before run:4.747621068598884,after run:5.096032761762359
global_4_local_2,scenario_29,before run:5.096032761762359,after run:4.101395164909811
global_4_local_3,scenario_30,before run:5.042410847440726,after run:4.151220630273874
global_4_local_3,scenario_31,before run:4.151220630273874,after run:4.570970686318077
global_4_local_3,scenario_32,before run:4.570970686318077,after run:4.317757809651873
global_4_local_3,scenario_33,before run:4.317757809651873,after run:5.035108885948818
global_5,scenario_34,before run:101.20482579302345,after run:5.35934006168315
global_5,scenario_35,before run:4.841793096615949,after run:4.691031357607604
global_5,scenario_36,before run:2.73888969078324,after run:3.0937256339055548
global_5_local_0,scenario_37,before run:5.35934006168315,after run:5.698332395235946
global_5_local_0,scenario_38,before run:5.698332395235946,after run:3.1481299495360893
global_5_local_0,scenario_39,before run:3.1481299495360893,after run:5.028791885392672
global_5_local_0,scenario_40,before run:5.028791885392672,after run:3.9949331203001845
global_5_local_0,scenario_41,before run:3.9949331203001845,after run:4.26324993037664
global_5_local_0,scenario_42,before run:4.26324993037664,after run:3.130353547139933
global_5_local_0,scenario_43,before run:3.130353547139933,after run:6.258955658434218
global_5_local_1,scenario_44,before run:5.028791885392672,after run:3.2753871469214126
global_5_local_1,scenario_45,before run:3.2753871469214126,after run:3.1582799617629336
global_5_local_1,scenario_46,before run:3.1582799617629336,after run:3.4555889059757074
global_5_local_2,scenario_47,before run:3.4555889059757074,after run:7.257208926806274
global_5_local_2,scenario_48,before run:7.257208926806274,after run:3.58153580912016
global_5_local_3,scenario_49,before run:5.028791885392672,after run:3.617610015035312
global_5_local_4,scenario_50,before run:5.028791885392672,after run:3.024771403225022
global_5_local_4,scenario_51,before run:3.024771403225022,after run:3.800330678123387
global_5_local_4,scenario_52,before run:3.800330678123387,after run:3.1344585817245267
global_6,scenario_53,before run:7.257208926806274,after run:6.333680619739418
global_6,scenario_54,before run:5.35934006168315,after run:5.096003586733304
global_6,scenario_55,before run:4.691031357607604,after run:3.783639290315725
global_6,scenario_56,before run:4.691031357607604,after run:3.1567372629183654
global_6_local_0,scenario_57,before run:6.333680619739418,after run:4.215299831295773
global_6_local_0,scenario_58,before run:4.215299831295773,after run:100.20417067013256
global_6_local_0,scenario_59,before run:100.20417067013256,after run:100.53510631243947
global_6_local_0,scenario_60,before run:100.53510631243947,after run:100.27727751548213
global_6_local_0,scenario_61,before run:100.27727751548213,after run:4.572482403880113
global_6_local_0,scenario_62,before run:4.572482403880113,after run:4.230189561451068
global_6_local_1,scenario_63,before run:4.572482403880113,after run:3.4157934159725403
global_6_local_1,scenario_64,before run:3.4157934159725403,after run:6.692818774882995
global_6_local_1,scenario_65,before run:6.692818774882995,after run:4.297582011405167
global_6_local_1,scenario_66,before run:4.297582011405167,after run:4.450512592701401
global_6_local_2,scenario_67,before run:4.450512592701401,after run:5.725126134196727
global_6_local_2,scenario_68,before run:5.725126134196727,after run:3.001472999854789
global_6_local_3,scenario_69,before run:5.725126134196727,after run:3.0365452283623284
global_6_local_3,scenario_70,before run:3.0365452283623284,after run:4.573234910982882
global_6_local_4,scenario_71,before run:4.573234910982882,after run:1.2949955759948404
global_6_local_4,scenario_72,before run:1.2949955759948404,after run:2.9507444908007683
global_6_local_4,scenario_73,before run:2.9507444908007683,after run:5.1012217358818495
global_7,scenario_74,before run:100.53510631243947,after run:4.424408129738733
global_7,scenario_75,before run:5.096003586733304,after run:4.1922234154108935
global_8,scenario_76,before run:6.333680619739418,after run:5.762730607906355
global_8,scenario_77,before run:6.333680619739418,after run:6.477762130942624
